 PASSENGERS , FREIGHT , MAIL , Passenger Miles ,CARRIER_NAME
" 144,637,180 "," 289,611,118 ", -   ," 116,627,136,731 ",Southwest Airlines Co. Total
" 137,916,298 "," 975,245,401 "," 240,169,831 "," 186,140,690,281 ",Delta Air Lines Inc. Total
" 118,541,411 "," 987,757,310 "," 153,541,964 "," 166,869,071,222 ",American Airlines Inc. Total
" 95,028,877 "," 968,514,741 "," 356,224,690 "," 182,508,547,016 ",United Air Lines Inc. Total
" 35,130,683 "," 26,557,394 ", -   ," 41,726,258,863 ",JetBlue Airways Total
" 30,078,314 ", -   , -   ," 16,965,403,368 ",SkyWest Airlines Inc. Total
" 28,269,616 "," 81,598,815 "," 47,567,329 "," 32,330,747,593 ",US Airways Inc. Total
" 26,002,874 "," 12,161 "," 1,051 "," 12,683,188,091 ",ExpressJet Airlines Inc. Total
" 22,868,140 "," 91,966,934 "," 20,628,605 "," 30,301,282,863 ",Alaska Airlines Inc. Total
" 17,629,033 ", -   , -   ," 17,944,023,815 ",Spirit Air Lines Total
" 14,043,606 ", -   , -   ," 6,774,383,986 ",Republic Airlines Total
" 13,104,187 ", -   , -   ," 13,329,939,730 ",Frontier Airlines Inc. Total
" 12,304,231 "," 929,995 "," 13,966 "," 5,391,180,178 ",Envoy Air Total
" 11,416,204 "," 2,469,786 "," 307,193 "," 6,409,816,100 ",Mesa Airlines Inc. Total
" 10,459,770 "," 155,000,174 "," 696,943 "," 14,437,289,617 ",Hawaiian Airlines Inc. Total
" 10,279,270 "," 45,652 "," 1,855 "," 5,530,870,384 ",Endeavor Air Inc. Total
" 9,560,098 ", -   , -   ," 8,993,561,369 ",Allegiant Air Total
" 9,138,696 "," 1,879,609 "," 146,416 "," 3,514,221,072 ",PSA Airlines Inc. Total
" 7,909,194 "," 6,223,197 "," 208,737 "," 2,300,571,592 ",Horizon Air Total
" 7,818,321 ", -   , -   ," 4,339,150,021 ",Shuttle America Corp. Total
" 7,068,903 "," 461,854,902 ", -   ," 30,129,557,351 ",British Airways Plc Total
" 6,993,269 ", -   , -   ," 10,428,209,311 ",Virgin America Total
" 6,312,190 "," 1,194,009 "," 25,477 "," 2,286,605,964 ",Air Wisconsin Airlines Corp Total
" 5,529,920 "," 368,590,136 ", -   ," 25,678,566,746 ",Lufthansa German Airlines Total
" 4,954,755 "," 27,989 "," 11,344 "," 3,506,328,231 ",Compass Airlines Total
" 4,378,275 ", -   , -   ," 2,446,390,156 ",GoJet Airlines LLC d/b/a United Express Total
" 4,340,453 ", -   , -   ," 5,867,951,544 ",Westjet Total
" 3,875,015 "," 15,157,817 ", -   ," 5,666,136,855 ",Air Canada Total
" 3,590,723 "," 263,329,680 ", -   ," 15,212,198,022 ",Virgin Atlantic Airways Total
" 3,574,270 "," 184,969,829 ", -   ," 15,465,856,424 ",Compagnie Natl Air France Total
" 3,119,687 "," 28,945,851 ", -   ," 4,986,415,173 ",Aeromexico Total
" 3,012,129 "," 140,835,050 ", -   ," 21,694,105,342 ",Emirates Total
" 2,979,313 ", -   , -   ," 1,316,075,314 ",Trans States Airlines Total
" 2,930,579 "," 16,223,590 ", -   ," 4,273,327,882 ",Air Canada rouge LP Total
" 2,904,775 "," 269,887 "," 15,524 "," 486,004,483 ",Piedmont Airlines Total
" 2,655,328 "," 148,746,300 ", -   ," 14,661,486,502 ",Korean Air Lines Co. Ltd. Total
" 2,604,874 "," 2,929,737 "," 7,478,292 "," 3,134,984,144 ",Sun Country Airlines d/b/a MN Airlines Total
" 2,230,792 ", 2 , -   ," 3,262,603,006 ",Concesionaria Vuela Compania De Aviacion SA de CV (Volaris) Total
" 2,134,182 "," 182,264,502 ", -   ," 10,032,529,396 ",Japan Air Lines Co. Ltd. Total
" 2,061,716 "," 17,275,547 ", -   ," 3,827,809,373 ",Compania Panamena (Copa) Total
" 2,024,429 "," 137,198,485 ", -   ," 14,836,212,813 ",Cathay Pacific Airways Ltd. Total
" 1,816,652 "," 96,298,635 ", -   ," 7,295,007,053 ",Transportes Aeros Meridiona Total
" 1,765,881 ", -   , -   ," 1,048,149,343 ",Jazz Aviation LP Total
" 1,681,191 "," 190,908,906 ", -   ," 7,643,405,166 ",Klm Royal Dutch Airlines Total
" 1,621,374 "," 91,328,892 ", -   ," 9,172,425,431 ",Turk Hava Yollari A.O. Total
" 1,574,036 "," 42,725,457 ", -   ," 8,086,720,030 ",Asiana Airlines Inc. Total
" 1,565,946 "," 296,446,510 ", -   ," 8,823,185,727 ",All Nippon Airways Co. Total
" 1,464,531 "," 136,076,606 ", -   ," 9,683,621,053 ",Eva Airways Corporation Total
" 1,431,283 "," 50,285,721 ", -   ," 4,923,257,011 ",Aer Lingus Plc Total
" 1,373,997 "," 525,383 ", -   ," 663,561,010 ",Sky Regional Airlines Inc. Total
" 1,352,963 "," 144,669,594 ", -   ," 6,179,239,331 ",Swiss International Airlines Total
" 1,299,062 "," 144,736,331 ", -   ," 8,403,505,440 ",Air China Total
" 1,282,417 "," 42,155,295 ", -   ," 10,053,580,278 ",Qantas Airways Ltd. Total
" 1,275,302 "," 28,636,029 ", -   ," 2,285,229,085 ",Aerovias Nacl De Colombia Total
" 1,272,179 "," 108,420,853 ", -   ," 9,254,661,297 ",Qatar Airways (Q.C.S.C) Total
" 1,147,021 "," 75,523,983 ", -   ," 8,481,287,684 ",Etihad Airways Total
" 1,141,666 "," 5,848,465 ", -   ," 2,108,594,869 ",Taca International Airlines Total
" 1,094,091 ", -   , -   ," 218,735,077 ","Commutair Aka Champlain Enterprises, Inc. Total"
" 1,090,475 "," 30,497,866 ", -   ," 4,875,609,274 ",Norwegian Air Shuttle ASA Total
" 1,042,759 "," 113,006,123 ", -   ," 4,387,689,933 ",Scandinavian Airlines Sys. Total
" 990,369 "," 78,585,849 ", -   ," 6,049,087,604 ",Air New Zealand Total
" 983,164 "," 5,921,317 ", -   ," 1,690,535,109 ",Caribbean Airlines Limited Total
" 970,186 "," 55,402,753 ", -   ," 3,958,061,954 ",Iberia Air Lines Of Spain Total
" 966,366 "," 56,673,000 ", -   ," 4,425,549,877 ",Compagnia Aerea Italiana Total
" 933,832 "," 40,519,806 ", -   ," 5,552,826,031 ",China Airlines Ltd. Total
" 891,216 "," 58,548,589 ", -   ," 3,906,194,414 ",Air Berlin PLC and CO Total
" 887,902 "," 74,505,922 ", -   ," 6,253,453,335 ",Singapore Airlines Ltd. Total
" 872,816 "," 13,609,962 ", -   ," 2,534,808,213 ",Icelandair Total
" 815,213 ", -   , -   ," 309,624,884 ","Porter Airlines, Inc. Total"
" 774,893 "," 44,408,337 ", -   ," 4,643,305,292 ",China Eastern Airlines Total
" 724,209 ", -   , -   ," 801,453,164 ",ABC Aerolineas SA de CV dba Interjet Total
" 705,668 "," 29,614,200 ", -   ," 4,190,263,933 ",El Al Israel Airlines Ltd. Total
" 705,410 ", -   , -   ," 155,745,943 ",Silver Airways Total
" 703,218 "," 88,261,987 ", -   ," 3,030,033,533 ",Lan-Chile Airlines Total
" 702,905 "," 29,979,967 ", -   ," 4,485,657,564 ",Philippine Airlines Inc. Total
" 683,665 ", -   ," 67,669 "," 70,974,477 ",Cape Air Total
" 680,751 "," 11,312,405 ", -   ," 3,503,095,299 ",Aeroflot Russian Airlines Total
" 607,939 "," 354,418 ", -   ," 504,522,582 ",Aerolitoral Total
" 585,156 "," 66,301,401 ", -   ," 1,882,599,223 ",Lan Peru Airlines Total
" 566,750 "," 11,459,586 ", -   ," 4,304,865,869 ",National Aviation Company of India Limited d/b/a Air India Total
" 531,828 "," 37,989,430 ", -   ," 2,365,523,100 ",Austrian Airlines Total
" 479,910 "," 29,130,151 ", -   ," 2,236,312,839 ",Aerolineas Argentinas Total
" 463,885 ", -   , -   ," 92,951,400 ",Bahamasair Holding Limited Total
" 442,458 "," 1,903,479 "," 1,373,951 "," 94,488,643 ",Era Aviation Total
" 427,198 "," 34,670,218 ", -   ," 3,127,251,282 ",Virgin Blue International Airlines t/a V Australia Total
" 421,977 "," 15,340,315 ", -   ," 3,107,689,578 ",China Southern Airlines Total
" 403,353 "," 33,525,943 ", -   ," 2,506,032,880 ",Hainan Airlines Company Limited Total
" 401,919 ", -   , -   ," 185,083,544 ",Air Georgian Total
" 388,771 "," 32,478,651 ", -   ," 1,598,686,632 ",Azul Linhas Aereas Brazileiras S A Total
" 366,214 ", -   , -   ," 498,051,040 ","Santa Barbara Airlines, C.A Total"
" 350,506 ", -   , -   ," 228,909,966 ","Swift Air, LLC Total"
" 345,787 "," 16,890 ", -   ," 33,794,680 ",Island Air Hawaii Total
" 338,040 "," 22,551,903 ", -   ," 2,332,255,412 ",Saudi Arabian Airlines Corp Total
" 317,675 "," 1,653,326 ", -   ," 1,368,237,713 ",Thomas Cook Airlines Uk Ltd. Total
